user,time slot,region,ground truth,sensing traffic,prediction,noise(pp),with accident
15,81,23,15.0,15.0,11.0,0.0,0.0
15,10,0,61.0,61.0,64.0,0.0,0.0
15,23,19,30.0,30.0,36.0,0.0,0.0
15,46,8,240.0,240.0,240.0,0.0,0.0
15,7,7,226.0,226.0,240.0,0.0,0.0
15,99,23,35.0,35.0,40.0,0.0,0.0
15,86,13,82.0,82.0,76.0,0.0,0.0
15,22,26,117.0,117.0,133.0,0.0,0.0
15,100,17,0.0,0.0,2.0,0.0,0.0
15,78,24,4.0,4.0,12.0,0.0,0.0
16,77,20,54.0,54.0,42.0,0.0,0.0
16,13,23,40.0,40.0,55.0,0.0,0.0
16,119,0,2.0,2.0,25.0,0.0,0.0
16,113,11,43.0,43.0,46.0,0.0,0.0
16,10,28,11.0,11.0,14.0,0.0,0.0
16,101,4,58.0,58.0,56.0,0.0,0.0
16,40,25,85.0,85.0,64.0,0.0,0.0
16,41,0,67.0,67.0,59.0,0.0,0.0
16,68,10,142.0,142.0,141.0,0.0,0.0
16,58,14,121.0,121.0,96.0,0.0,0.0
16,112,22,69.0,69.0,72.0,0.0,0.0
16,32,28,1.0,1.0,2.0,0.0,1.0
16,3,20,411.0,411.0,385.0,0.0,0.0
16,66,18,97.0,97.0,118.0,0.0,0.0
16,5,4,91.0,91.0,111.0,0.0,0.0
16,24,22,56.0,56.0,67.0,0.0,0.0
16,47,3,69.0,69.0,67.0,0.0,0.0
16,115,26,58.0,58.0,68.0,0.0,0.0
16,26,19,16.0,16.0,14.0,0.0,0.0
16,67,7,131.0,131.0,115.0,0.0,0.0
16,44,8,261.0,261.0,247.0,0.0,0.0
16,104,29,5.0,5.0,5.0,0.0,0.0
16,25,13,61.0,61.0,43.0,0.0,0.0
16,108,5,65.0,65.0,63.0,0.0,0.0
16,86,0,29.0,29.0,22.0,0.0,0.0
16,93,8,111.0,111.0,120.0,0.0,0.0
16,38,15,48.0,48.0,71.0,0.0,0.0
16,39,15,73.0,73.0,71.0,0.0,0.0
16,106,21,90.0,90.0,83.0,0.0,0.0
16,49,11,74.0,74.0,84.0,0.0,0.0
17,55,4,97.0,97.0,71.0,0.0,0.0
17,13,7,232.0,232.0,211.0,0.0,0.0
17,71,28,1.0,1.0,14.0,0.0,0.0
17,115,13,63.0,63.0,72.0,0.0,0.0
17,36,26,40.0,40.0,74.0,0.0,1.0
17,78,10,25.0,25.0,18.0,0.0,0.0
17,69,20,257.0,257.0,277.0,0.0,0.0
17,100,14,68.0,68.0,64.0,0.0,0.0
17,25,17,0.0,0.0,0.0,0.0,0.0
17,91,27,99.0,99.0,65.0,0.0,0.0
17,37,19,60.0,60.0,64.0,0.0,0.0
17,99,3,30.0,30.0,43.0,0.0,0.0
17,56,9,340.0,340.0,281.0,0.0,0.0
17,65,18,100.0,100.0,125.0,0.0,0.0
17,77,21,28.0,28.0,33.0,0.0,0.0
17,59,2,71.0,71.0,76.0,0.0,0.0
17,68,19,39.0,39.0,49.0,0.0,0.0
17,81,30,12.0,12.0,7.0,0.0,0.0
17,33,21,29.0,29.0,30.0,0.0,0.0
17,34,26,16.0,16.0,40.0,0.0,1.0
17,29,11,14.0,14.0,9.0,0.0,0.0
17,2,23,59.0,59.0,61.0,0.0,0.0
17,15,28,18.0,18.0,14.0,0.0,0.0
17,114,28,3.0,3.0,8.0,0.0,0.0
17,110,18,70.0,70.0,91.0,0.0,0.0
17,12,13,172.0,172.0,162.0,0.0,0.0
17,22,23,26.0,26.0,35.0,0.0,0.0
17,53,1,129.0,129.0,113.0,0.0,0.0
17,31,6,19.0,19.0,27.0,0.0,0.0
17,27,10,40.0,40.0,31.0,0.0,0.0
18,22,21,132.0,132.0,158.0,0.0,0.0
18,65,16,57.0,57.0,59.0,0.0,0.0
18,9,30,73.0,73.0,67.0,0.0,0.0
18,17,27,92.0,92.0,76.0,0.0,0.0
18,97,16,44.0,44.0,53.0,0.0,0.0
18,26,26,35.0,35.0,42.0,0.0,0.0
18,100,28,5.0,5.0,9.0,0.0,0.0
18,99,3,30.0,30.0,43.0,0.0,0.0
18,63,26,111.0,111.0,113.0,0.0,0.0
18,72,17,0.0,0.0,0.0,0.0,0.0
18,98,10,150.0,150.0,117.0,0.0,0.0
18,89,9,226.0,226.0,232.0,0.0,0.0
18,27,12,8.0,8.0,8.0,0.0,0.0
18,30,13,13.0,13.0,18.0,0.0,0.0
